Bruxelles  Ville- Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi
Patrimoine publique / Openbare patrimonium;Marché de services - Entretien en garantie totale pour une période de trois ans des ascenseurs du Centre administratif de la Ville - PNSPP;Opdracht van diensten - Onderhoud met totale waarborg voor een periode van drie jaar van de liften van het Administratief Centrum van de Stad - OZVB;21/02/2019;SPRL DE LIFT/ BVBA DE LIFT;141.061,81
Urbanisme / Stedenbouw;TRAVAUX Marché public de travaux de faible montant sur simple facture acceptée : Rénovation partielle de 7 fresques du parcours BD - Cahier spécial des charges n° CAR/19/FA/192 - Article 92 de la loi du 17/06/2016.;WERKEN Overheidsopdracht voor aanneming van werken van beperkte waarde met aanvaarde factuur : Gedeeltelijke vernieuwing van 7 muurschilderingen van de stripparcours. - Bijzonder lastenboek n° CAR/19/FA/192 - Artikel 92 van de wet van 17/06/2016.;5/09/2019;Farm Prod;36.239,50
Patrimoine publique / Openbare patrimonium;Marché de services - Accord-cadre concernant des missions d’étude et de suivi de travaux pour la rénovation et l’isolation de toitures et leur éventuel aménagement à savoir la pose de panneaux solaires et/ou la réalisation de toiture verte intensive ou extensive - PNSPP;Opdracht van diensten - Raamovereenkomst betreffende missies van studie en opvolging van werken voor de renovatie en de isolatie van daken en hun mogelijke ontwikkeling, namelijk de installatie van zonnepanelen en / of de realisatie van intensief of extensief groendak - OZVB;16/05/2019;ATELIER 229 ARCHITECTES SPRL;174.240,00
Urbanisme / Stedenbouw;TRAVAUX Marché public de travaux de faible montant sur simple facture acceptée : Protection et nettoyage de fresques pendant une période de 36 mois. - Cahier spécial des charges n° CAR/19/FA/193  - Article 92 de la loi du 17/06/2016.;WERKEN Overheidsopdracht voor aanneming van werken van beperkte waarde met aanvaarde factuur : Bescherming en reiniging gedurende 36 maanden van muurschilderingen. - Bijzonder lastenboek n° CAR/19/FA/193 - Artikel 92 van de wet van 17/06/2016.;12/09/2019;APP All Remove Benelux bvba;9.373,87
Patrimoine publique / Openbare patrimonium;Marché de travaux -  Fourniture et Installation de panneaux photovoltaïques sur le toit l’Ecole Maternelle de La Marolle,  Rue Sainte-thérése 1, 1000 Bruxelles - PNSPP;Opdracht van wereken - Levering en installatie van fotovoltaïsche panelen op het dak van het Ecole La Marolle Sint-Theresiastraat 1, 1000 Brussel - OZVB;19/12/2019;Green SA;106.227,04
Urbanisme / Stedenbouw;SERVICES Marché public de service de faible montant sur simple facture acceptée :  rédaction d’un vade-mecum portant sur l’aménagement et la signalisation des sentiers et chemins de Haren - Cahier spécial des charges n° 2019/PLAN/VADE_MECUM_HAREN - Article 92 de la loi du 17/06/2016;DIENSTEN Overheidsopdracht voor aanneming van diensten van beperkte waarde met aanvaarde factuur : opstellen van een vademecum inzake de aanleg en bewegwijzering van paden en wegen in Haren - Bijzonder lastenboek n° 2019/PLAN/VADE_MECUM_HAREN - Artikel 92 van de wet van 17/06/2016;12/12/2019;ARTGINEERING;35.816,00
Patrimoine publique / Openbare patrimonium;Marché de travaux - la rénovation et l'isolation des toitures plates et inclinées de l'établissement Aneessens-Funck - procédure ouverte avec publicité Belge;Opdracht van wereken - de renovatie en isolatie van pallte en hellende daken van de Instituut Anneessens-Funck - Belgische openbare procedure met bekendmaking;19/12/2019;SETIP GCUBE;900.078,76
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;31/01/2019;MIELE;856,72
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;31/01/2019;ASOGEM;93,00
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;09/05/2019;MIELE;846,18
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;23/05/2019;MIELE;2.298,98
Démographie / Demografie;Marché public de services ayant pour but le nettoyage après un chantier afin de pouvoir ouvrir en urgence le milieu d'accueil, conclu par une procédure de faible montant;Openbare opdracht voor diensten met als doel het kuisen na een werf teneinde een sectie dringend weer te kunnen openen vastgelegd via opdracht voor gering bedrag;04/07/2019;GROUP CLEANING & SERVICES S.A.;1.727,74
Démographie / Demografie;Marché public de services ayant pour but l'organisation des séances de chorale Gospel 55+ pour l’année 2019 à l'Espace S Cinquantenaire, conclu par procédure négociée en application de l'article 92 de la loi du 17/06/2016.;Overheidsopdracht voor diensten met als doel het organiseren van gospel-zangsessies voor 55+’ers voor het jaar 2019 in S Punt Jubelpark, afgesloten via een onderhandelingsprocedure overeenkomstig artikel 92 van de wet van 17/06/2016;26/09/2019;Asbl Sound The Trumpet Belgium;2.500,00
Démographie / Demografie;Marché public de fournitures ayant pour but l'achat d'un sachet de 10.000 oeillets pour la riveteuse du service BAE, conclu via un marché public de minime importance.;Overheidsopdracht voor diensten met als doel de aankoop van een zakje met 10.000 ogen voor de klinkmachine van de vreemdelingendienst, afgesloten via een openbare aanbesteding van minimaal belang;7/11/2019;Inni Group;62,92
Démographie / Demografie;Marché public de services ayant pour but le déménagement du coffre-fort vers la nouvelle antenne de NOH, conclu via un marché public de minime importance.;Overheidsopdracht voor diensten met als doel de verhuis van de brandkast naar het nieuwe bijkantoor van NOH, afgesloten via een openbare aanbesteding van minimaal belang;17/10/2019;Atelier Boonen bvba;540,00
Démographie / Demografie;Marché public de services ayant pour but la reliure des actes d'état civil et de leurs annexes,  conclu via un marché public de minime importance.;Overheidsopdracht voor diensten met als doel het inbinden van de akten van burgerlijke stand en hun bijlagen, afgesloten via een openbare aanbesteding van minimaal belang;10/10/2019;Vanden Broele;3.912,00
Démographie / Demografie;Marché public de services ayant pour but la reliure des actes d'état civil et de leurs annexes,  conclu via un marché public de minime importance.;Overheidsopdracht voor diensten met als doel het inbinden van de akten van burgerlijke stand en hun bijlagen, afgesloten via een openbare aanbesteding van minimaal belang;14/02/2019;Vanden Broele;8.400,00
Démographie / Demografie;Marché public de services ayant pour but la réalisation d'un coaching du responsable et d'une intervision dans l'équipe de l'antenne décentralisée de Louise, conclu via un marché public de minime importance.;Overheidsopdracht voor diensten met als doel het realiseren van een coaching van de verantwoordelijke en een interventie binnen het team van de gedecentraliseerde antenne van Louiza, afgesloten via een openbare aanbesteding van een minimaal belang.;18/07/2019;CFIP;5.505,50
Régie foncière / Grondregie;Marché de services-d'estimation de terrains et de bâtiments-PNSPP;Opracht van diensten-inschatting terreinen en gebouwen-PNSPP;18/07/2019;Expert de Pauw Jean Michel;41.466,70
Régie foncière / Grondregie;Marché de travaux-Fripiers 33-PO;Opracht van werken-Kleerkoperstraat 33-PO;19/09/2019;ADT CONSTRUCT SPRL;508.345,24
Régie foncière / Grondregie;Marché de services-Cirque Royal-équipements sonores-PNSPP;Opracht van diensten-Koninklijk Circus-AKOESTISCHE DIENSTEN -PNSPP;05/12/2019;ARTO;699.999,99
Régie foncière / Grondregie;Marché de travaux-Chauffage(Lot1)-PO;Opracht van werken-Verwarming(Lot1)-PO;21/11/2019;IMTECH;3.302.179,20
Régie foncière / Grondregie;Marché de travaux-Chauffage(commandes supplémentaires)-PNSPP;Opracht van werken-Verwarming (bijkomstige werken)-PNSPP;28/11/2019;IMTECH;850.000,00
Culture, Jeunesse, Loisirs, Sports / Cultuur, Jeugd, Ontspanning, Sport;Marché public de fournitures en 3 lots ayant pour but la fourniture, le déballage et le placement de matériel d'athlétisme pour la cellule Sport du département Culture, Jeunesse, Loisirs et Sports - CDA/010773/LDR - IRIS 2019/6683;Overheidsopdracht voor leveringen in 3 percelen met het doel de levering, uitpakken en plaatsing van atletiekmateriaal voor de cel Sport van het departement Cultuur, Jeugd, Ontspanning en Sport - CDA/010773/LDR - IRIS 2019/6683;11/07/2019;ADEC SPORT NV (n° 24758);69.561,69
Affaires économiques / Economische zaken;"Horeca - 
Marché public de services ayant pour but la mise sous envelloppe, l'affranchissement et l'expédition de courrier, par le cahier spécial des charges CDA/010078 en procédure négociée sans publication préalable";"Horeca - 
Overheidsopdracht voor dienstverlening voor het in omslag steken, frankeren en verzenden van post, door middel van een speciaal bestek CDA/010078 in het kader van de onderhandelingsprocedure zonder voorafgaande bekendmaking";6/10/2018;ASBL Manufast- ABP Entreprise de Travail Adapté;4.810,21
Affaires économiques / Economische zaken;"Horeca - 
Marché public de services ayant pour but la location omnium d'un terminal de paiement bancaire, par le cahier spécial des charges CDA/008290 en procédure négociée sans publication préalable";"Horeca -
Overheidsopdracht voor de dienstverlening voor de volledige huur van een bankterminal, volgens het speciaal bestek CDA/008290 in het kader van de onderhandelingsprocedure zonder voorafgaande bekendmaking";10/09/2018;SA LOYALTEK;800,00
Affaires économiques / Economische zaken;"Animation Commerciale -
Fournitures- barrières Heras - 
marché public via la centrale d'achats";"Commerciële animatie -
Leveringen - Heras hekken - overheidsopdracht via de Aankoopcentrale";23/04/2019;Heras Mobile Fencing and security;4.043,83
Affaires économiques / Economische zaken;"Animation Commerciale -
Services - ramassage carton Midi - marché public animation commerciale";"Commerciële animatie -
Dienstverlening - ophaling karton Zuid - overheidsopdracht cel commerciele animatie";5/09/2019;Bruxelles Propreté - Net Brussel;20.000,00
Affaires économiques / Economische zaken;"Marchés : 
Service : Marché public de services ayant pour but le contrôle, pendant 48 mois, du marché bio de la place Sainte-Catherine (CDA/009580/BEN)";"Markten : 
Dienstverlening : Overheidsopdracht voor het toezicht, gedurende 48 maanden, van de bio markt op het Sint-Katelijneplein. (CDA/009580/BEN)";14/02/2019;Certisys;1.704,05
Affaires économiques / Economische zaken;"Marchés : 
Service : Location de matériels et de tentes pour le marché du Parvis de Notre Dame de Laeken édition décembre 2018 - Accepté par simple facture";"Markten : 
Dienstverlening : Verhuur van materiaal en tenten voor de markt van het Onze-Lieve-Vrouwvoorplein van Laeken editie december 2018 - Aanvaard via eenvoudige factuur";10/01/2019;Rock the city;968,00
Affaires économiques / Economische zaken;"Marchés : 
Service :  Marché public de services ayant pour but l'exercice d'une expertise en antiquités en octobre 2017 pour la Cellule Marchés du Departement des Affaires Economiques (cahier spécial n°CDA/009574/VHO) principe et attribution";"Markten : 
Dienstverlening : Overheidsopdracht voor de uitoefening van een expertise op het gebied van antiquiteiten in oktober 2017 voor de Cel Markten van het Departement Economische Zaken (speciaal lastenboek n°CDA/009574/VHO) principe en attributie";24/01/2019;Norden Jacob Fine Antiques SPRL;251,00
Affaires économiques / Economische zaken;"Marchés : 
Service : Prestation d'un groupe de musique le Brussels Jazz Weekend sur le marché du Jeudi Jardin du 23/05 à Maelbeek - Accepté par simple facture";"Markten : 
Dienstverlening : Optreden van een muziekgroep op het Brussels Jazz Weekend op de Maalbeektuin markt van 23/05 - Aanvaarding door eenvoudige factuur";23/05/2019;"Andrew Vollmer : 
2 Wagtail Crt Langwarrin, Victroia Australia 3910";300,00
Affaires économiques / Economische zaken;"Marchés : 
Service :  Prestation d'une animation ""Fais le Toi Même"" du 14 septembre 2019 sur le marché du Jeu de Balle - Accepté par simple facture";"Markten : 
Dienstverlening : Prestatie van een animatie ""Fais le Toi Toi Même"" van 14 september 2019 op de markt van het Vossenplein - Aanvaarding door eenvoudige factuur";28/11/2019;Fais le toi-même asbl;275,00
Patrimoine publique / Openbare patrimonium;Marché de services - Extension de l'école secondaire Pagodes - Procédure concurrentielle avec négociation;Opdracht voor diensten - Uitbreiding van Atheneum Pagodes - Mededingsprocedure met bekendmaking;4/07/2019;LOOTVOET Christophe avec/met Productions associés, Homeco et/en ATS;830.087,40
Patrimoine publique / Openbare patrimonium;Marché de travaux - Remplacement des menuiseries exterieures de l'institut Bischoffsheim - Procédure ouverte;Opdracht voor werken - Vervanging van het buitenschrijnwerk van het gebouw van het Instituut Bischoffsheim - Openbare procedure;19/12/2019;Francovera nv;794.551,50
Patrimoine publique / Openbare patrimonium;Marché de travaux - Rénovation des châssis du bâtiment 600 de la Haute Ecole Francisco Ferrer - Rue Terre Neuve 114 à 1000 Bruxelles - Procédure ouverte;Opdracht voor werken - vervanging van het buitenschrijnwerk van het gebouw 600 van het Hoge School Fransisco Ferrer Nieuwland - Openbare procedure;19/12/2019;FRANCOVERA nv;241.606,92
Patrimoine publique / Openbare patrimonium;Marché de travaux - Démolition complète de l'intérieur des sanitaires existants et de la cour de récréation attenante et l'aménagement du bâtiment en espace sanitaire et d'une nouvelle cours de récréation côté conciergerie de l'Athénée Robert Catteau située rue Ernest Allard n° 49 à 1000 Bruxelles - Procédure négociée directe avec publication préalable;Opdracht voor werken - Volledige afbraak van de binnenkant van het bestaande sanitair en van de aanpalende speelkoer, inrichting van het gebouw als sanitaire ruimte en aanleg van een nieuwe speelkoer - Athénée Robert Catteau - Ernest Allardstraat 49 te 1000 Brussel - Vereenvoudigde onderhandelingsprocedure met bekendmaking;19/12/2019;DSV nv;448.642,01
Patrimoine publique / Openbare patrimonium;Marché de travaux - Renouvellement toiture plate - Rue des Tanneurs 65 (Archives) - Procédure négociée directe avec publication préalable;Opdracht voor werken - Vernieuwing van de daken van het Stadsarchief Brussel - Huidevettersstraat 65 - Vereenvoudigde onderhandelingsprocedure met bekendmaking;19/12/2019;CRABBE DAKWERKEN nv;763.244,41
Patrimoine publique / Openbare patrimonium;"Marché de Travaux - Rénovation complète des toitures plates ""Dépôt Arthur MAES"" - Procédure négociée directe avec publication préalable";"Opdracht voor werken renovatie van de platte daken van ""depot Arthur Maes"" - Vereenvoudigde onderhandelingsprocedure met bekendmaking";9/01/2020;EGD nv;295.283,74
Patrimoine publique / Openbare patrimonium;Marché de services - Contrat pour une durée de quatre ans (du 01/10/2019 au 30/09/2023) pour l’entretien de 25 ascenseurs du domaine public de la Ville de Bruxelles - PNSPP;Opdracht van diensten - Contract voor een duur van vier jaar (van 01/10/2019 tot 30/09/2023) voor het onderhoud van 25 liften van het openbaar domein van de Stad Brussel - OZVB;26/09/2019;SPRL DE LIFT/ BVBA DE LIFT;65.738,24
Patrimoine publique / Openbare patrimonium;Marché de services - la réalisation d’un cadastre des performances en matière d’éclairage des bâtiments publics de la Ville de Bruxelles en vue de l’élaboration d’un plan d’action visant au remplacement des systèmes d'éclairage intérieurs par des systèmes LEDs adaptés dans le cadre de la fiche Plan Climat 3.2 BXLIGHT - PNSPP;Opdracht van diensten - de realisatie van een kadaster van de verlichtingsprestaties van de openbare gebouwen van de Stad Brussel met het oog op het opstellen van een actieplan voor de vervanging van binnenverlichtingssystemen door LED-systemen aangepast als onderdeel van het Klimaatplan 3.2 BXLIGHT - OZVB;19/12/2019;I Love Lighting;97.429,20
Ressources humaines / Human resources;Marché à faible montant - Marché public de fournitures à bordereau de prix ayant pour but l'achat de chocolat (emballage individuel) pour la cellule Service social du département HR;Overheidsopdracht van beperkte waarde - Overheidsopdracht tegen prijslijst voor de aankoop van chocolade ( individuele verpakking) voor de cel sociale dienst van het departement HR;3/12/2019;LEONIDAS;1.086,80
VBX Ressources humaines / Human resources;Marché de services à bordereau de prix pour l'utilisation d'une plateforme en ligne de tests de recrutement;Overheidsopdracht voor diensten tegen prijslijst met als doel het huren van een online platform van selectietesten;01/06/2017 ? 30/05/2020;Hudson S. A.;198.633,60
Ressources humaines / Human resources;Marché de fournitures à bordereau de prix pour l'utilisation d'une plateforme en ligne de recrutement;Overheidsopdracht voor leveringen tegen prijslijst met als doel het huren van een online platform voor selectie;01/08/2019 --> 31/07/2021;Profile Group S. A.;79.860,00
Ressources humaines / Human resources;Marché à faible montant - Marché public de services à bordereau de prix ayant pour but l’organisation d’une formation Prévenir et comprendre le burn out;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel: organiseren van een vorming Burn out begrijpen en voorkomen;5/12/2019;CFIP;11.400,00
Ressources humaines / Human resources;Marché à faible montant - Marché public de services à bordereau de prix ayant pour but l’organisation de formations pour l’obtention du Permis C avec certificat d’aptitude professionnelle.;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel : organiseren van vormingen voor het halen van het rijbewijs C met vakbekwaamheid.;1/11/2020;Boël sprl;12.174,00
Ressources humaines / Human resources;Marché public de services à bordereau de prix ayant pour but l'émission, pendant 36 mois, de titres-repas électroniques;Overheidsopdracht voor diensten tegen prijslijst met het doel: de uitgifte gedurende 36 maanden van elektronische maaltijdcheques;1/07/2017;Edenred;14.634,34
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but la location et l'entretien, pendant 36 mois, de tapis antisouillures pour divers départements conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010133).;Overheidsopdracht voor diensten met het doel het huren en onderhouden, gedurende 36 maanden, van antivuilmatten voor verschillende departementen van de Stad afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010133).;4/04/19;Absormat SPRL - rue de Hal 36 - 1190 Bruxelles;53.263,96
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 60 mois, de papiers et cartons pour divers départements  conclu par adjudicatin ouverte en application des articles 23 et 24 de la loi du 15/6/2006 (cahier des charges n° CDA/005170).- Commandes supplémentaires.;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 60 maanden, van papier en karton voor verschillende departementen afgesloten via afgesloten via open aanbesteding overeenkomstig artikelen 23 en 24 van de wet van 15/06/2006 (bestek CDA/005170).- Bijkomende bestellingen.;2/05/19;Igepa Belux nv - Nijverheidslaan 4 - 9880 Aalter;250.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible et à bordereau de prix ayant pour but la fourniture, pendant 12 mois, d'équipement pour soudeurs pour divers départements conclu par procédure négociée  sans publicité préalable en application de l'article 26, § 1er, 1°, a, de la loi du 15/06/2006 (cahier spécial des charges CDA/008582).- Reconduction.;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van uitrustingen voor lassers voor verschillende departementen afgesloten via een onderhandelingsprocedure zonder bekendmaking overeenkomstig artikel 26, § 1, 1°, a, van de wet van 15 /06/2006 (bestek CDA/008582).- Verlenging.;2/05/19;Branson CD bvba - Pamelstraat Oost 425 - 9400 Ninove + Vandeputte Safety nv - Binnensteenweg 160 - 2530 Boechout;21.930,61
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but le soutien, pendant 12 mois, à la politique de participation de la Ville par un pôle d'expertise pour le département Organisation  conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010549).;Overheidsopdracht voor diensten met het doel de steun, gedurende 12 maanden, van het participatiebeleid van Stad door een expertisecentrum voor departement Organisatie afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010549).;2/05/19;Inventio Group SPRL - rue d'Alost 7/11 - 1000 Bruxelles;129.721,50
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la location, pendant 24 mois, d'une plateforme de recrutement en ligne et la diffusion des annonces d'emplois vacants sur les jobboards et les réseaux sociaux professionnels pour la cellule Recrutement du département RH conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010457).;Overheidsopdracht voor leveringen met het doel de huur, gedurende 24 maanden, van een databank van onlinerekrutering en de publicatie van vacatures op jobboards en de professioneel sociaal netwerk voor de cel Werving van het departement HR afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17 juni 2016 (bestek nr CDA/010457).;23/05/19;The Profile Group SA - bld Louis Schmidt 54 - 1040 Bruxelles;131.890,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 24 mois, de matériel sportif pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010705).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van sportmateriaal voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010705).;18/07/19;Allard Sports Equipement SA - - Zone Artisanale de Weyler 28 - 6700 Arlon;72.632,67
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 24 mois, d'électroménager à usage domestique pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010605).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van elektrische huishoudapparatuur voor huishoudelijk gebruik voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010605).;5/09/19;Etablissement Steylemans SA - bld Emile Bockstael 412 - 1020 Bruxelles;53.922,73
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'organisation, pendant 36 mois, de formations de base et de recyclage des membres du service de lutte contre l'incendie - équipiers de 1ère intervention des différents bâtiments de la Ville  pour divers départements  conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010648).;Overheidsopdracht voor diensten tegen prjslist met het doelde organisatie, gedurende 36 maanden, van basis- en bijscholingsvormingen voor de ledden van de brandbestrijdingsdienst - medewerkers eerste interventiploeg van de verschillende gebouwen van de Stad voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010648).;5/09/19;Centre de Formation des Pompiers de Bruxelles ASBL - avenue de l'Héliport 15 - 1000 Bruxelles;77.650,55
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'organisation, jusqu'au 31 décembre 2019, de séances de coaching individuelles et collectives dans les établissements scolaires et parascolaires du département Instruction Publique conclu par procédure négociée sans publicité en application de l'article 26, § 1er, 1°, a, de la loi du 15/06/2006 (cahier des charges n°  CDA/009042).;Overheidsopdracht voor diensten tegen prijslijst met het doel de organisatie, tot 31 december 2019, van individuel- en groepszittingen van coaching in de school- en paraschoolinstellingen van het departement Openbaar Onderwijs afgesloten via onderhandelingsprocedure zonder bekendmaking overeenkomstig artikel 26, § 1, 1°, a, van de wet van 15/06/2006 (bestek nr CDA/009042).;12/09/19;ASBL Impact Cooremans - rue de la Fontaine 4 - 1000 Bruxelles;28.500,00
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but le placement, l'enlèvement et la vidange de conteneurs à objets encombrants qui seront mis à disposition des habitants de la Ville de Bruxelles en 2020  pour le département Travaux de Voirie conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010589).;Overheidsopdracht voor diensten tegen prijslijst met het doel het plaatsen, ophalen en ledigen van containers voor groot vuil die in 2020  ter beschikking worden gesteld van de inwoners van de Stad Brussel  voor Departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010589).;26/09/19;G & A De Meuter - Assesteenweg 117 A/8 - 1740 Ternat;143.506,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 2 lots ayant pour but la fourniture, pendant 12 mois, de fragments d'écorces d'arbres résineux, sous-produits de la filière bois, et de copeaux de bois pour aires de jeux pour le département Travaux de Voirie  conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010265).;Overheidsopdracht voor leveringen tegen prijslijst en in 2 percelen met het doel de levering, gedurende 12 maanden, van naaldboomschors, bijproduct van de houtketen, en houtsnippers voor speelterreinen voor het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010265).;3/10/19;JGVB Consulting and Sales SPRL - rue de la Cambre 203 - 1150 Bruxelles + Europlay nv - Eegene 9 - 9200 Dendermonde;54.034,56
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but, pendant 12 mois, la capture, l'enregistrement et le transfert sécurise d'images dans le cadre de la vidéosurveillance des incivilités en matière de propreté dans l'espace public pour la cellule Propreté Publique du département Travaux de Voirie en vue de contribuer à l'application des règlements communaux en la matière conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010634). - Commandes supplémentaires.;Overheidsopdracht voor diensten tegen prijslijst met het doel gedurende 12 maanden, het maken, opnemen en beveiligd overmaken van beelden in het kader van videobewaking van overlast inzake netheid in de openbare ruimte voor de cel Openbare Reinheid van het departement Wegeniswerken met het oog op bij te dragen tot de toepassing van gemeenteverordeningen inzake afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010634).- Bijkomende bestellingen.;7/11/19;One Telecom SA - rue du Manoir 16 - 6313 Beaufort - Luxembourg;52.453,50
